IFK Göteborg,Kalmar FF,IF Elfsborg,IFK Norrköping,AIK,Örebro SK,GAIS,Malmö FF,Djurgårdens IF FF,BK Häcken,Åtvidabergs FF,GIF Sundsvall,Gefle IF,Mjällby AIF,round,Syrianska FC,Helsingborgs IF
14,5,2,4,6,12,8,10,13,7,1,15,9,11,1,3,16
15,9,6,2,5,12,13,14,7,3,1,16,10,11,2,4,8
16,11,3,4,5,12,13,9,6,2,1,10,15,14,3,8,7
15,7,2,5,3,13,14,6,11,4,1,10,16,8,4,12,9
12,10,1,8,4,16,9,2,14,7,3,11,13,5,5,15,6
10,11,1,5,2,16,12,4,13,3,6,9,14,7,6,15,8
5,12,1,4,3,16,13,6,11,2,9,10,14,7,7,15,8
8,9,1,6,3,16,13,4,11,2,10,12,15,7,8,14,5
8,9,1,4,7,16,14,5,11,2,10,13,15,6,9,12,3
8,11,1,5,7,16,14,3,12,2,9,10,15,6,10,13,4
9,13,1,8,4,16,14,2,11,3,6,12,15,7,11,10,5
10,13,1,7,3,16,15,2,11,4,6,12,14,8,12,9,5
13,11,1,7,4,16,15,2,8,5,6,9,14,10,13,12,3
12,13,1,4,3,16,15,2,8,7,6,9,14,10,14,11,5
11,9,1,6,5,16,15,2,10,7,4,12,14,8,15,13,3
12,11,1,6,4,16,15,2,10,5,7,8,14,9,16,13,3
11,12,1,6,3,15,16,2,9,4,7,8,14,10,17,13,5
12,10,1,5,4,16,15,2,8,3,7,11,14,9,18,13,6
10,12,1,6,4,16,15,2,8,3,7,9,14,11,19,13,5
11,9,1,6,4,16,15,2,7,3,8,10,14,13,20,12,5
11,8,1,7,4,16,15,3,5,2,9,10,14,12,21,13,6
10,8,1,6,4,15,16,3,7,2,9,12,14,11,22,13,5
9,8,2,6,4,15,16,3,7,1,10,12,14,11,23,13,5
8,9,2,5,3,15,16,4,7,1,10,14,13,11,24,12,6
8,9,1,5,3,15,16,4,10,2,11,14,12,7,25,13,6
7,8,1,6,4,15,16,3,9,2,12,14,11,10,26,13,5
8,10,3,6,4,15,16,2,7,1,9,14,12,11,27,13,5
9,7,2,6,4,15,16,1,8,3,10,14,12,11,28,13,5
10,8,1,6,4,15,16,2,7,3,9,14,11,12,29,13,5
7,10,1,5,4,15,16,3,9,2,8,14,11,12,30,13,6
